Dt, depth, Knn, weights, k, Nb, No Params, Svm, kernel, penalty, Rf, n_estimators, criterion, max_depth, Mlp, max_iter, hidder_layers, learning_rate, learning_rate_init
0.695238, 13, 0.746190, distance, 17, 0.503095, Default, 0.695714, rbf, 12.1, 0.778571, 230, gini, 13, 0.440714, 200, 5, adaptive, 0.1
0.737143, 11, 0.814286, distance, 14, 0.457381, Default, 0.370714, rbf, 12.1, 0.781190, 310, gini, 41, 0.616905, 220, 5, adaptive, 0.01
0.746190, 13, 0.812619, distance, 16, 0.449286, Default, 0.372857, rbf, 12.1, 0.775476, 230, gini, 33, 0.618810, 260, 5, invscaling, 0.01
0.756190, 13, 0.819286, distance, 12, 0.459524, Default, 0.780476, rbf, 12.1, 0.846667, 240, entropy, 29, 0.379286, 280, 5, invscaling, 0.01
0.744286, 13, 0.810952, distance, 11, 0.443810, Default, 0.775714, rbf, 12.1, 0.477857, 310, gini, 19, 0.299286, 260, 5, adaptive, 0.01
0.747857, 15, 0.814762, uniform, 10, 0.462143, Default, 0.773095, rbf, 12.1, 0.835000, 200, gini, 35, 0.688333, 200, 5, constant, 0.01
0.674048, None, 0.752381, uniform, 18, 0.506905, Default, 0.689524, rbf, 12.1, 0.886905, 290, gini, 15, 0.667143, 260, 5, invscaling, 0.01
0.737143, 13, 0.810238, distance, 8, 0.450000, Default, 0.771905, rbf, 11.1, 0.840000, 330, gini, None, 0.676429, 200, 5, invscaling, 0.001
0.698571, 13, 0.751905, distance, 12, 0.507381, Default, 0.683571, rbf, 12.1, 0.785476, 220, gini, 33, 0.455238, 220, 5, constant, 0.01
0.699048, 13, 0.742143, distance, 11, 0.501667, Default, 0.683333, rbf, 12.1, 0.772857, 290, gini, 13, 0.580714, 300, 5, constant, 0.001

0.723571, , 0.787476, , , 0.474119, , 0.659690, , , 0.778000, , , , 0.542286, , , , 
0.027285, , 0.032300, , , 0.025561, , 0.149198, , , 0.106702, , , , 0.130892, , , , 
