Dt, depth, Knn, weights, k, Nb, No Params, Svm, kernel, penalty, Rf, n_estimators, criterion, max_depth, Mlp, max_iter, hidder_layers, learning_rate, learning_rate_init
0.696429, 13, 0.746190, distance, 17, 0.503095, Default, 0.683571, rbf, 12.1, 0.767619, 280, gini, 13, 0.569048, 220, 5, constant, 0.001
0.737619, 13, 0.814286, distance, 14, 0.457381, Default, 0.776429, rbf, 12.1, 0.839762, 240, gini, 43, 0.685000, 200, 5, adaptive, 0.001
0.744524, 13, 0.810952, uniform, 18, 0.449286, Default, 0.778810, rbf, 12.1, 0.841190, 240, gini, 35, 0.735714, 260, 5, invscaling, 0.01
0.760000, 13, 0.814762, distance, 18, 0.459524, Default, 0.780476, rbf, 12.1, 0.843810, 310, gini, 25, 0.728095, 220, 5, invscaling, 0.01
0.745238, 13, 0.810952, distance, 11, 0.443810, Default, 0.775714, rbf, 12.1, 0.836905, 300, gini, 23, 0.470714, 220, 5, adaptive, 0.01
0.740476, 11, 0.814762, uniform, 10, 0.462143, Default, 0.773095, rbf, 12.1, 0.834524, 220, gini, 33, 0.672381, 280, 5, adaptive, 0.01
0.711667, 13, 0.752381, uniform, 18, 0.506905, Default, 0.689524, rbf, 12.1, 0.787381, 190, gini, 17, 0.565238, 280, 5, constant, 0.01
0.728810, 15, 0.810238, distance, 8, 0.450000, Default, 0.770714, rbf, 11.1, 0.842619, 320, gini, 41, 0.720000, 200, 5, constant, 0.001
0.700000, 13, 0.751905, distance, 12, 0.507381, Default, 0.481190, rbf, 12.1, 0.836429, 200, gini, 29, 0.722143, 240, 5, constant, 0.001
0.697619, 13, 0.744286, distance, 14, 0.501667, Default, 0.683333, rbf, 12.1, 0.770714, 350, gini, 13, 0.634524, 280, 5, invscaling, 0.01

0.726238, , 0.787071, , , 0.474119, , 0.719286, , , 0.820095, , , , 0.650286, , , , 
0.021869, , 0.031454, , , 0.025561, , 0.089118, , , 0.029869, , , , 0.084496, , , , 
