0, 1, 2, 3, 4, 5, 6, 7, 8, 9, True
0.079830,0.000000,0.745756,0.174414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,
0.000000,0.000000,0.911477,0.088523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,7,
0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,
0.000000,0.000000,0.000000,0.000000,0.699457,0.000000,0.300543,0.000000,0.000000,0.000000,4,
0.000000,0.000000,0.173564,0.000000,0.094341,0.000000,0.732094,0.000000,0.000000,0.000000,2,
0.175942,0.000000,0.083457,0.000000,0.376948,0.093307,0.096367,0.000000,0.090522,0.083457,4,
0.179974,0.000000,0.000000,0.820026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3,
0.000000,0.000000,0.000000,0.000000,0.000000,0.078997,0.000000,0.842005,0.000000,0.078998,4,
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,
0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,5,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,7,
0.000000,0.000000,0.101104,0.000000,0.098780,0.000000,0.800116,0.000000,0.000000,0.000000,6,
0.000000,0.000000,0.086962,0.176306,0.097010,0.000000,0.000000,0.451742,0.000000,0.187981,7,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,6,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,7,
0.000000,0.000000,0.000000,0.000000,0.280117,0.000000,0.000000,0.357412,0.000000,0.362472,9,
0.202422,0.171065,0.080772,0.000000,0.000000,0.000000,0.357757,0.000000,0.100740,0.087244,2,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.386111,0.159884,0.454005,9,
0.000000,0.000000,0.000000,0.000000,0.000000,0.163153,0.000000,0.000000,0.836847,0.000000,8,
0.073442,0.000000,0.000000,0.000000,0.273464,0.078512,0.000000,0.119928,0.000000,0.454655,7,
0.000000,0.000000,0.000000,0.083456,0.000000,0.826740,0.000000,0.000000,0.000000,0.089803,5,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.919354,0.000000,0.080646,7,
0.000000,0.000000,0.638585,0.087974,0.000000,0.087975,0.185466,0.000000,0.000000,0.000000,2,
0.000000,0.000000,0.078787,0.000000,0.921213,0.000000,0.000000,0.000000,0.000000,0.000000,4,
0.000000,0.000000,0.000000,0.107217,0.000000,0.000000,0.000000,0.892783,0.000000,0.000000,7,
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,
0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,
0.087240,0.000000,0.000000,0.174815,0.174482,0.266987,0.000000,0.000000,0.000000,0.296475,5,
0.188004,0.000000,0.000000,0.174963,0.083829,0.000000,0.000000,0.000000,0.188004,0.365200,8,
0.162297,0.000000,0.000000,0.000000,0.000000,0.095156,0.000000,0.000000,0.742547,0.000000,8,
0.083497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.830653,0.085850,8,
0.000000,0.000000,0.688480,0.123220,0.000000,0.000000,0.000000,0.188300,0.000000,0.000000,2,
0.000000,0.451191,0.000000,0.000000,0.469576,0.000000,0.079232,0.000000,0.000000,0.000000,4,
0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,5,
0.101790,0.000000,0.000000,0.000000,0.320310,0.577900,0.000000,0.000000,0.000000,0.000000,5,
0.000000,0.898368,0.000000,0.000000,0.101632,0.000000,0.000000,0.000000,0.000000,0.000000,1,
0.000000,0.725432,0.000000,0.274568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
0.000000,0.000000,0.918174,0.081826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,
0.000000,0.000000,0.000000,0.000000,0.920523,0.000000,0.000000,0.000000,0.000000,0.079477,4,
0.000000,0.000000,0.000000,0.101902,0.000000,0.000000,0.000000,0.898098,0.000000,0.000000,7,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,6,
0.000000,0.000000,0.000000,0.000000,0.254671,0.000000,0.000000,0.138238,0.000000,0.607090,9,
0.000000,0.000000,0.000000,0.000000,0.082274,0.000000,0.000000,0.095002,0.087955,0.734769,9,
0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
0.207280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.258779,0.533941,0,
0.000000,0.000000,0.090123,0.000000,0.000000,0.000000,0.909877,0.000000,0.000000,0.000000,6,
0.000000,0.000000,0.089508,0.089507,0.000000,0.081227,0.083725,0.000000,0.544398,0.111636,3,
0.000000,0.000000,0.000000,0.000000,0.000000,0.449437,0.000000,0.000000,0.465387,0.085176,5,
0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,5,
0.000000,0.000000,0.000000,0.000000,0.371262,0.178877,0.357816,0.000000,0.092045,0.000000,6,
0.828937,0.000000,0.000000,0.000000,0.171063,0.000000,0.000000,0.000000,0.000000,0.000000,0,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.772184,0.000000,0.227816,4,
0.082632,0.174203,0.087103,0.106679,0.000000,0.000000,0.549382,0.000000,0.000000,0.000000,6,
0.000000,0.000000,0.000000,0.074661,0.079189,0.000000,0.000000,0.754710,0.000000,0.091440,9,
0.000000,0.000000,0.000000,0.000000,0.163388,0.000000,0.000000,0.107238,0.000000,0.729375,9,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,7,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111398,0.000000,0.888602,9,
0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.240927,0.000000,0.759073,9,
0.000000,0.092688,0.000000,0.000000,0.536558,0.000000,0.000000,0.000000,0.000000,0.370753,7,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,6,
0.082943,0.000000,0.629257,0.106447,0.000000,0.000000,0.093573,0.000000,0.087779,0.000000,2,
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,
0.000000,0.000000,0.000000,0.000000,0.396939,0.000000,0.000000,0.337290,0.000000,0.265771,9,
0.096146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.096147,0.356601,0.451106,8,
0.000000,0.000000,0.000000,0.080953,0.000000,0.549736,0.000000,0.369310,0.000000,0.000000,5,
0.000000,0.000000,0.000000,0.070433,0.000000,0.000000,0.000000,0.929567,0.000000,0.000000,7,
