0, 1, 2, 3, 4, 5, 6, 7, 8, 9, True
0.000017,0.980440,0.015365,0.000727,0.000692,0.000533,0.000693,0.000251,0.001233,0.000050,1,
0.016959,0.140743,0.183966,0.132983,0.061031,0.059691,0.218691,0.006936,0.140671,0.038330,1,
0.101020,0.001334,0.024521,0.103871,0.045121,0.132069,0.044501,0.001949,0.532262,0.013353,5,
0.018032,0.032680,0.052170,0.387310,0.045890,0.061291,0.056887,0.002903,0.309817,0.033022,5,
0.065964,0.001064,0.002712,0.010652,0.085008,0.260642,0.019185,0.219827,0.138351,0.196597,5,
0.018032,0.032680,0.052170,0.387310,0.045890,0.061291,0.056887,0.002903,0.309817,0.033022,8,
0.457019,0.000322,0.081865,0.004387,0.054149,0.075126,0.273066,0.006082,0.041876,0.006109,6,
0.012682,0.002090,0.856889,0.053990,0.008813,0.012299,0.010809,0.000079,0.042337,0.000011,2,
0.000258,0.000066,0.000032,0.009528,0.000906,0.003888,0.000001,0.967849,0.000086,0.017385,7,
0.197994,0.000018,0.005283,0.013723,0.125615,0.480769,0.005282,0.057011,0.032060,0.082245,5,
0.024898,0.115653,0.017601,0.098823,0.074483,0.102906,0.058218,0.022207,0.303583,0.181627,6,
0.002703,0.010026,0.040609,0.027366,0.325064,0.037374,0.120364,0.063350,0.010513,0.362629,9,
0.024384,0.000027,0.082207,0.031827,0.539118,0.037757,0.015317,0.034915,0.003377,0.231071,4,
0.005609,0.043669,0.121564,0.066808,0.274778,0.031198,0.280352,0.004216,0.038886,0.132919,4,
0.000075,0.955494,0.018288,0.008890,0.002183,0.002298,0.000757,0.000440,0.011394,0.000180,1,
0.045158,0.000025,0.171879,0.001105,0.215052,0.024829,0.513744,0.015788,0.001320,0.011099,6,
0.118015,0.000009,0.269769,0.484651,0.037379,0.014924,0.030814,0.003704,0.037532,0.003202,9,
0.004538,0.097598,0.003399,0.772412,0.007080,0.060736,0.000205,0.024768,0.010434,0.018830,3,
0.022140,0.000000,0.000150,0.016802,0.006717,0.078869,0.000002,0.860135,0.000175,0.015010,7,
0.362727,0.000069,0.013964,0.029583,0.093759,0.354358,0.010863,0.003350,0.104708,0.026619,3,
0.705406,0.000000,0.015161,0.006766,0.071419,0.171045,0.008425,0.009953,0.005798,0.006027,0,
0.786698,0.000000,0.016584,0.010425,0.062118,0.071068,0.001737,0.044169,0.002358,0.004842,0,
0.046410,0.003427,0.007153,0.002736,0.084574,0.189889,0.055171,0.392940,0.046992,0.170709,7,
