0, 1, 2, 3, 4, 5, 6, 7, 8, 9, True
0.001032,0.983424,0.006018,0.000860,0.002479,0.001214,0.001435,0.001209,0.001287,0.001042,1,
0.000052,0.990341,0.002139,0.003520,0.000678,0.000336,0.000239,0.002407,0.000060,0.000228,1,
0.090785,0.000704,0.005603,0.102069,0.009079,0.337957,0.003331,0.003164,0.415065,0.032243,5,
0.062154,0.000971,0.010042,0.463543,0.007798,0.209823,0.001237,0.028994,0.161281,0.054157,5,
0.011275,0.001875,0.003115,0.050013,0.121050,0.181048,0.002010,0.335768,0.038475,0.255372,5,
0.205322,0.000420,0.029643,0.028027,0.023374,0.132119,0.052107,0.001447,0.502380,0.025160,8,
0.054013,0.000095,0.077121,0.000231,0.011447,0.010820,0.839612,0.000091,0.005919,0.000652,6,
0.003010,0.000054,0.978637,0.007689,0.000427,0.000120,0.008876,0.000038,0.001115,0.000032,2,
0.000568,0.002590,0.001174,0.032918,0.022942,0.010034,0.000100,0.840622,0.002141,0.086911,7,
0.025103,0.000318,0.000977,0.117115,0.002789,0.712039,0.000295,0.083264,0.035469,0.022631,5,
0.190174,0.002737,0.067010,0.025929,0.159409,0.039204,0.104946,0.005624,0.235280,0.169687,6,
0.003591,0.261548,0.015111,0.072804,0.116755,0.032619,0.002238,0.333630,0.018140,0.143565,9,
0.019662,0.002654,0.077545,0.056963,0.159583,0.007292,0.004232,0.064309,0.065335,0.542427,4,
0.055893,0.002592,0.156705,0.024279,0.195277,0.021112,0.348650,0.004561,0.104868,0.086062,4,
0.000423,0.987790,0.003235,0.002933,0.000925,0.001012,0.000286,0.001825,0.000741,0.000829,1,
0.007364,0.000585,0.197316,0.001472,0.036703,0.003340,0.749776,0.002848,0.000199,0.000397,6,
0.054940,0.000478,0.743314,0.153798,0.004285,0.003852,0.007235,0.002197,0.027614,0.002289,9,
0.005518,0.003672,0.018514,0.836152,0.000473,0.116099,0.000709,0.003125,0.014797,0.000940,3,
0.006985,0.000141,0.000450,0.021798,0.012780,0.348084,0.000117,0.552874,0.006288,0.050483,7,
0.489382,0.001162,0.032419,0.059269,0.005351,0.357969,0.002436,0.003056,0.043031,0.005925,3,
0.766872,0.000423,0.020499,0.024974,0.025260,0.102810,0.000803,0.013861,0.006644,0.037854,0,
0.864139,0.000013,0.000520,0.001241,0.000640,0.126473,0.000053,0.001782,0.003060,0.002079,0,
0.030903,0.001802,0.004902,0.090157,0.011167,0.059723,0.000528,0.570709,0.056044,0.174065,7,
0.007083,0.001030,0.002685,0.013341,0.112995,0.038531,0.001200,0.076412,0.050089,0.696634,9,
0.071038,0.002210,0.007782,0.004903,0.220975,0.645947,0.002275,0.017757,0.002291,0.024821,4,
0.443932,0.001719,0.008843,0.008944,0.050767,0.353928,0.007202,0.020844,0.040189,0.063631,5,
0.012039,0.022793,0.009860,0.067801,0.029281,0.014056,0.000499,0.548261,0.022243,0.273166,7,
0.115092,0.000205,0.004781,0.004171,0.000386,0.037612,0.000145,0.000963,0.832392,0.004253,8,
0.130321,0.002574,0.508583,0.053777,0.055732,0.027290,0.048217,0.003267,0.123522,0.046718,3,
0.000128,0.000051,0.012444,0.000306,0.004687,0.000692,0.981496,0.000028,0.000069,0.000098,6,
0.045252,0.001666,0.013436,0.029276,0.283577,0.141894,0.005703,0.042707,0.021481,0.415008,5,
0.298844,0.002968,0.032876,0.043378,0.024785,0.319381,0.026577,0.007548,0.226731,0.016912,5,
0.000125,0.948559,0.004329,0.017714,0.005515,0.003119,0.000440,0.018164,0.000376,0.001658,1,
0.044879,0.574239,0.120257,0.072239,0.018856,0.014050,0.005145,0.021914,0.089050,0.039371,1,
0.003767,0.010451,0.017444,0.033389,0.497013,0.012782,0.005666,0.114365,0.011313,0.293811,9,
0.004523,0.681241,0.094391,0.051791,0.066692,0.010786,0.016211,0.046410,0.006904,0.021050,1,
0.120261,0.003753,0.059816,0.079073,0.047210,0.023484,0.002937,0.031434,0.338338,0.293693,0,
0.014343,0.004451,0.025518,0.008083,0.444689,0.010714,0.006686,0.022861,0.024259,0.438396,4,
0.084794,0.099488,0.067082,0.054202,0.103874,0.039495,0.007016,0.076264,0.177875,0.289911,9,
0.008632,0.004749,0.007669,0.262921,0.047647,0.111318,0.001625,0.292086,0.078643,0.184711,3,
0.005956,0.035357,0.007083,0.138275,0.024491,0.058102,0.000669,0.565498,0.015597,0.148972,9,
0.058699,0.001947,0.032907,0.254061,0.043392,0.392700,0.025277,0.010612,0.142162,0.038242,3,
0.000047,0.000009,0.006722,0.000007,0.001464,0.000088,0.991525,0.000002,0.000078,0.000058,6,
0.169930,0.001375,0.013163,0.016912,0.018707,0.114683,0.001585,0.020361,0.538615,0.104669,8,
0.567996,0.000308,0.331619,0.020131,0.006697,0.005159,0.049483,0.001995,0.014842,0.001769,6,
0.048497,0.000680,0.001292,0.060992,0.007578,0.540775,0.000740,0.183141,0.087677,0.068629,5,
0.004069,0.861755,0.036477,0.025351,0.015489,0.003279,0.000793,0.020640,0.011819,0.020328,1,
0.000000,0.999108,0.000092,0.000069,0.000109,0.000017,0.000031,0.000517,0.000004,0.000054,1,
