0, 1, 2, 3, 4, 5, 6, 7, 8, 9, True
0.023256,0.000000,0.046512,0.000000,0.906977,0.000000,0.023256,0.000000,0.000000,0.000000,4,
0.000923,0.000000,0.004617,0.000000,0.003693,0.003693,0.984303,0.000000,0.000923,0.001847,6,
0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
0.000923,0.000000,0.004617,0.000000,0.003693,0.003693,0.984303,0.000000,0.000923,0.001847,6,
0.000000,0.019608,0.019608,0.000000,0.705882,0.039216,0.019608,0.019608,0.098039,0.078431,4,
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,
0.012821,0.000000,0.012821,0.089744,0.064103,0.038462,0.000000,0.102564,0.576923,0.102564,9,
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,
0.969432,0.000000,0.010189,0.004367,0.000000,0.001456,0.002911,0.000000,0.011645,0.000000,0,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.666667,7,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,9,
0.216667,0.000000,0.025000,0.091667,0.000000,0.100000,0.000000,0.000000,0.550000,0.016667,3,
0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3,
0.000000,0.000000,0.015873,0.007937,0.952381,0.000000,0.000000,0.000000,0.000000,0.023810,4,
0.000000,0.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,2,
0.006410,0.006410,0.000000,0.878205,0.000000,0.032051,0.000000,0.019231,0.012821,0.044872,3,
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,
0.000000,0.000000,0.019678,0.971377,0.000000,0.003578,0.000000,0.000000,0.001789,0.003578,3,
0.000000,0.000000,0.000000,0.004762,0.000952,0.000000,0.000000,0.993333,0.000000,0.000952,7,
0.009600,0.000000,0.011200,0.001600,0.867200,0.052800,0.019200,0.008000,0.004800,0.025600,4,
0.000000,0.000000,0.000000,0.000000,0.745098,0.039216,0.000000,0.000000,0.019608,0.196078,4,
0.009600,0.000000,0.011200,0.001600,0.867200,0.052800,0.019200,0.008000,0.004800,0.025600,4,
0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,5,
0.000000,0.996778,0.000644,0.000000,0.000000,0.000000,0.000000,0.001933,0.000644,0.000000,1,
0.000000,0.988189,0.000000,0.000000,0.003937,0.000000,0.007874,0.000000,0.000000,0.000000,1,
