0, 1, 2, 3, 4, 5, 6, 7, 8, 9, True
0.013356,0.000002,0.038922,0.021908,0.766784,0.023982,0.013902,0.012555,0.001023,0.107566,4,
0.000792,0.000010,0.012770,0.000007,0.006230,0.000513,0.979169,0.000000,0.000460,0.000050,6,
0.000305,0.782306,0.013557,0.109844,0.000218,0.003244,0.000024,0.078795,0.002113,0.009594,1,
0.176176,0.000000,0.009068,0.000069,0.008477,0.048128,0.720262,0.000000,0.037679,0.000143,6,
0.016708,0.298679,0.024037,0.017610,0.183539,0.096055,0.036710,0.019817,0.094904,0.211941,4,
0.063834,0.000025,0.222684,0.017702,0.336113,0.073783,0.238896,0.001139,0.011536,0.034288,6,
0.047650,0.000628,0.000045,0.019915,0.001470,0.351107,0.000010,0.034208,0.482111,0.062856,9,
0.020680,0.000000,0.838236,0.005943,0.002768,0.007714,0.123316,0.000007,0.001136,0.000201,2,
0.917908,0.000000,0.013743,0.004263,0.000007,0.058422,0.000381,0.000000,0.005274,0.000002,0,
0.000298,0.000000,0.000007,0.008917,0.021332,0.003308,0.000000,0.764359,0.000108,0.201670,7,
0.008646,0.085140,0.013388,0.009423,0.452339,0.051967,0.033097,0.022696,0.031754,0.291549,9,
0.155472,0.000167,0.003152,0.054609,0.001183,0.393814,0.000301,0.003805,0.374771,0.012726,3,
0.104911,0.014588,0.072305,0.151028,0.007540,0.310716,0.006063,0.011594,0.283468,0.037787,3,
0.014422,0.000014,0.083830,0.008491,0.710490,0.022133,0.105141,0.002115,0.001990,0.051376,4,
0.030423,0.047116,0.001345,0.156206,0.000691,0.243949,0.000029,0.097744,0.370030,0.052467,2,
0.003159,0.001282,0.005268,0.946392,0.000000,0.014242,0.000000,0.019199,0.010097,0.000362,3,
0.002132,0.049488,0.897867,0.010349,0.000163,0.003302,0.032018,0.000035,0.004457,0.000189,2,
0.005955,0.022477,0.152173,0.777093,0.000000,0.013968,0.000006,0.000785,0.027496,0.000045,3,
0.000046,0.000202,0.000003,0.009909,0.000473,0.001158,0.000000,0.935962,0.000171,0.052075,7,
0.050823,0.000072,0.037019,0.008328,0.589361,0.091031,0.120027,0.002132,0.020608,0.080599,4,
0.003583,0.003733,0.023497,0.006073,0.733836,0.014907,0.042441,0.011265,0.003302,0.157362,4,
0.124900,0.000000,0.006780,0.040643,0.415496,0.204257,0.002956,0.019605,0.012497,0.172865,4,
0.246605,0.000000,0.000451,0.072483,0.000000,0.270077,0.000001,0.000103,0.410212,0.000068,5,
0.005299,0.792657,0.104469,0.019850,0.000322,0.018269,0.006612,0.000508,0.050284,0.001730,1,
0.005116,0.825018,0.020357,0.009493,0.013520,0.029463,0.012661,0.004131,0.050688,0.029553,1,
0.006599,0.064645,0.001533,0.007193,0.292521,0.059320,0.003857,0.056659,0.041443,0.466231,9,
0.002899,0.128364,0.030609,0.008976,0.513117,0.017701,0.044804,0.022806,0.007476,0.223248,4,
0.000527,0.000027,0.000692,0.016323,0.239216,0.004086,0.000054,0.397254,0.000162,0.341660,2,
0.001481,0.000013,0.356763,0.639686,0.000000,0.001476,0.000002,0.000183,0.000390,0.000006,3,
0.484790,0.000000,0.006586,0.163393,0.000000,0.131254,0.000000,0.000001,0.213975,0.000000,5,
0.040176,0.000003,0.000038,0.624171,0.000000,0.162299,0.000000,0.018122,0.154795,0.000397,3,
0.001005,0.000945,0.000068,0.025686,0.009926,0.014675,0.000003,0.708920,0.003144,0.235628,7,
0.000127,0.000000,0.533283,0.000286,0.128453,0.000067,0.337397,0.000008,0.000001,0.000378,6,
0.010395,0.638902,0.065135,0.026212,0.039425,0.053241,0.028851,0.010652,0.060312,0.066876,1,
0.000223,0.000001,0.093446,0.000025,0.021733,0.000118,0.884360,0.000000,0.000017,0.000076,6,
0.006785,0.000368,0.072955,0.004041,0.650521,0.014568,0.196859,0.001527,0.002696,0.049680,4,
0.001741,0.000020,0.040451,0.032352,0.680761,0.005546,0.003706,0.069095,0.000165,0.166163,4,
0.000026,0.000001,0.000008,0.004647,0.019175,0.000376,0.000000,0.848962,0.000007,0.126797,7,
0.086564,0.002197,0.001979,0.032281,0.000683,0.300787,0.000276,0.003120,0.561244,0.010869,8,
0.179000,0.000454,0.030321,0.031634,0.000071,0.220614,0.001984,0.000082,0.535298,0.000543,0,
0.000043,0.000000,0.999445,0.000458,0.000000,0.000004,0.000049,0.000000,0.000002,0.000000,2,
0.011738,0.000359,0.000343,0.797692,0.000001,0.069188,0.000000,0.049617,0.069955,0.001108,3,
0.000056,0.000065,0.000001,0.003336,0.003736,0.001440,0.000000,0.851608,0.000173,0.139584,7,
0.003713,0.000554,0.002456,0.014234,0.438080,0.023200,0.001271,0.108268,0.003225,0.404998,4,
0.001377,0.000233,0.000029,0.007840,0.060674,0.018546,0.000008,0.435146,0.003443,0.472704,9,
0.003335,0.000209,0.000030,0.012371,0.039925,0.041006,0.000007,0.432028,0.009691,0.461398,9,
0.082661,0.005678,0.402031,0.225382,0.000309,0.133464,0.004547,0.001137,0.142573,0.002218,2,
0.021508,0.000019,0.003677,0.887090,0.000000,0.039925,0.000000,0.000909,0.046848,0.000025,3,
0.983913,0.000000,0.000008,0.000236,0.000000,0.015677,0.000000,0.000000,0.000167,0.000000,0,
0.001882,0.010400,0.001532,0.347245,0.000296,0.020096,0.000002,0.574588,0.007051,0.036908,7,
0.002193,0.020335,0.000101,0.005253,0.119668,0.032696,0.000127,0.199796,0.018120,0.601711,9,
0.599933,0.000000,0.004673,0.000966,0.000045,0.162134,0.005663,0.000000,0.226560,0.000026,0,
0.003490,0.153037,0.000300,0.003688,0.174523,0.045733,0.001047,0.070794,0.046351,0.501037,9,
0.000361,0.000000,0.055443,0.000002,0.001405,0.000038,0.942747,0.000000,0.000003,0.000001,6,
0.157106,0.000632,0.011112,0.061924,0.001913,0.367229,0.001278,0.002962,0.382892,0.012952,5,
0.897567,0.000000,0.000003,0.000869,0.000122,0.100489,0.000000,0.000003,0.000891,0.000056,0,
0.007883,0.024007,0.016661,0.004348,0.629092,0.035747,0.084411,0.006765,0.018922,0.172164,4,
0.014383,0.046758,0.000218,0.062413,0.003140,0.180844,0.000016,0.280897,0.223720,0.187611,8,
0.024146,0.519623,0.107826,0.021716,0.002436,0.075593,0.031224,0.000808,0.209757,0.006872,1,
0.953419,0.000000,0.005027,0.011647,0.000000,0.025489,0.000001,0.000000,0.004418,0.000000,0,
0.115451,0.000118,0.000987,0.100372,0.000065,0.341103,0.000014,0.004577,0.433184,0.004128,5,
0.002602,0.000023,0.130987,0.000523,0.162550,0.002619,0.697396,0.000027,0.000465,0.002809,6,
0.053742,0.096388,0.016684,0.054995,0.026406,0.268399,0.006199,0.023708,0.336336,0.117144,8,
0.043198,0.000000,0.042858,0.060778,0.707694,0.041392,0.004406,0.014847,0.000520,0.084306,4,
0.030897,0.195330,0.113074,0.012467,0.104525,0.100038,0.255091,0.002187,0.131615,0.054776,6,
0.035956,0.000947,0.000954,0.010606,0.249117,0.193064,0.002325,0.035177,0.092029,0.379825,8,
0.000702,0.000759,0.079391,0.003766,0.780522,0.002196,0.071416,0.004569,0.000201,0.056479,4,
0.000233,0.005698,0.000044,0.017668,0.004072,0.004835,0.000001,0.811751,0.001257,0.154440,7,
0.000971,0.000385,0.688438,0.307882,0.000000,0.000673,0.000001,0.000002,0.001649,0.000000,2,
0.027045,0.000000,0.682368,0.001274,0.004429,0.003811,0.280834,0.000000,0.000193,0.000045,6,
0.058688,0.000706,0.000136,0.038779,0.000546,0.349817,0.000011,0.023203,0.498124,0.029991,8,
0.000500,0.965105,0.008326,0.003569,0.002199,0.003611,0.001968,0.001989,0.005770,0.006963,1,
0.030220,0.000191,0.864645,0.002858,0.000002,0.010346,0.048707,0.000000,0.043030,0.000002,2,
0.424652,0.000000,0.025629,0.030691,0.000000,0.151594,0.000125,0.000001,0.367303,0.000005,8,
0.001458,0.000000,0.000181,0.997143,0.000000,0.000964,0.000000,0.000026,0.000229,0.000000,3,
0.002541,0.008966,0.036654,0.003737,0.724550,0.010088,0.099899,0.005252,0.002751,0.105563,4,
0.004005,0.000000,0.076501,0.000027,0.005725,0.000701,0.912936,0.000000,0.000090,0.000015,6,
0.008547,0.001162,0.005748,0.011883,0.554716,0.041951,0.006888,0.039049,0.009061,0.320996,4,
0.004990,0.171876,0.005268,0.007165,0.351012,0.039927,0.013109,0.034626,0.028233,0.343794,9,
0.004120,0.000042,0.236169,0.000580,0.022592,0.003205,0.731534,0.000006,0.001106,0.000647,6,
0.015390,0.002141,0.017860,0.000316,0.103222,0.026463,0.791349,0.000027,0.036449,0.006784,6,
0.868631,0.000000,0.006862,0.003355,0.015037,0.099941,0.004163,0.000005,0.001569,0.000437,0,
0.005236,0.033552,0.033902,0.001582,0.474817,0.018181,0.361963,0.001013,0.012722,0.057032,4,
0.000478,0.001089,0.000009,0.005618,0.018594,0.009804,0.000002,0.605865,0.002648,0.355894,7,
0.023873,0.047606,0.017250,0.229530,0.019126,0.155798,0.000691,0.217993,0.082191,0.205942,3,
0.320419,0.000000,0.000043,0.001191,0.000008,0.237076,0.000017,0.000004,0.441170,0.000071,0,
0.003636,0.050648,0.000656,0.005664,0.261891,0.039645,0.001440,0.085527,0.024339,0.526555,9,
0.001388,0.005119,0.000039,0.058000,0.000658,0.024682,0.000000,0.799310,0.012199,0.098605,7,
0.002553,0.000000,0.064020,0.000052,0.020952,0.000979,0.911152,0.000000,0.000182,0.000110,6,
0.122894,0.004033,0.013850,0.028064,0.018971,0.353444,0.009912,0.003897,0.401082,0.043853,8,
0.256000,0.000000,0.000005,0.000317,0.000057,0.270780,0.000017,0.000007,0.472520,0.000298,8,
0.113115,0.000002,0.001981,0.035905,0.240583,0.285766,0.001052,0.036618,0.033384,0.251594,5,
0.002927,0.045533,0.000464,0.005610,0.230116,0.034698,0.000862,0.108444,0.020149,0.551197,9,
0.029415,0.001646,0.072078,0.765769,0.000018,0.070881,0.000036,0.006464,0.052456,0.001237,3,
0.010710,0.000000,0.077033,0.000017,0.003209,0.000723,0.908265,0.000000,0.000041,0.000003,6,
0.053784,0.000095,0.000531,0.028295,0.103715,0.273265,0.000308,0.087487,0.081388,0.371130,9,
0.000502,0.012541,0.000013,0.005601,0.016348,0.012046,0.000003,0.565827,0.005775,0.381345,7,
0.010832,0.101612,0.080844,0.007130,0.362512,0.040531,0.267685,0.003632,0.029301,0.095921,4,
0.000908,0.948187,0.017466,0.012932,0.000103,0.005141,0.000441,0.001128,0.012315,0.001379,1,
0.000512,0.925128,0.003857,0.021464,0.000630,0.005469,0.000086,0.023462,0.006557,0.012835,1,
0.010125,0.000036,0.047095,0.918397,0.000000,0.013571,0.000001,0.000390,0.010372,0.000014,3,
0.000687,0.960507,0.004739,0.005300,0.001256,0.005528,0.000731,0.003294,0.010114,0.007845,1,
0.382089,0.000009,0.043393,0.013329,0.005480,0.306936,0.034352,0.000088,0.211200,0.003124,5,
0.000578,0.972101,0.004497,0.002568,0.000704,0.004055,0.001092,0.000921,0.010052,0.003432,1,
0.014467,0.003097,0.012104,0.845375,0.000003,0.054775,0.000002,0.015151,0.053986,0.001039,3,
0.001399,0.000110,0.000874,0.096517,0.013564,0.011587,0.000007,0.715453,0.000917,0.159572,3,
0.000855,0.914105,0.012533,0.026244,0.001220,0.007149,0.000375,0.016124,0.007909,0.013485,1,
0.006616,0.033962,0.003752,0.789993,0.000003,0.045487,0.000001,0.054555,0.063459,0.002171,3,
0.023765,0.015311,0.010988,0.007323,0.481134,0.103911,0.052817,0.009415,0.068334,0.227002,9,
0.001294,0.077737,0.000185,0.009057,0.063474,0.022036,0.000087,0.314556,0.012542,0.499032,9,
0.001775,0.002090,0.000064,0.029145,0.008153,0.026562,0.000003,0.668412,0.008428,0.255369,7,
0.011351,0.027640,0.000726,0.093435,0.008008,0.123887,0.000037,0.401906,0.083979,0.249030,7,
