0, 1, 2, 3, 4, 5, 6, 7, 8, 9, True
0.012121,0.000000,0.024242,0.015152,0.775758,0.024242,0.027273,0.054545,0.006061,0.060606,4,
0.000000,0.006061,0.009091,0.000000,0.000000,0.000000,0.978788,0.000000,0.006061,0.000000,6,
0.003030,0.769697,0.015152,0.054545,0.006061,0.000000,0.003030,0.136364,0.000000,0.012121,1,
0.039394,0.000000,0.012121,0.000000,0.000000,0.133333,0.712121,0.003030,0.100000,0.000000,6,
0.021212,0.306061,0.000000,0.000000,0.396970,0.033333,0.036364,0.018182,0.100000,0.087879,4,
0.124242,0.000000,0.209091,0.045455,0.112121,0.087879,0.290909,0.012121,0.036364,0.081818,6,
0.015152,0.006061,0.006061,0.227273,0.024242,0.203030,0.000000,0.054545,0.339394,0.124242,9,
0.009091,0.003030,0.809091,0.030303,0.030303,0.003030,0.093939,0.003030,0.015152,0.003030,2,
0.824242,0.000000,0.124242,0.018182,0.000000,0.006061,0.021212,0.000000,0.006061,0.000000,0,
0.000000,0.000000,0.000000,0.021212,0.081818,0.012121,0.000000,0.669697,0.000000,0.215152,7,
0.003030,0.042424,0.003030,0.003030,0.415152,0.006061,0.006061,0.009091,0.009091,0.503030,9,
0.169697,0.000000,0.024242,0.175758,0.024242,0.124242,0.006061,0.006061,0.460606,0.009091,3,
0.003030,0.009091,0.003030,0.045455,0.000000,0.900000,0.003030,0.003030,0.033333,0.000000,3,
0.003030,0.000000,0.000000,0.003030,0.939394,0.003030,0.009091,0.003030,0.000000,0.039394,4,
0.051515,0.136364,0.033333,0.181818,0.030303,0.069697,0.000000,0.084848,0.169697,0.242424,2,
0.000000,0.000000,0.000000,0.978788,0.000000,0.003030,0.000000,0.009091,0.000000,0.009091,3,
0.003030,0.003030,0.942424,0.015152,0.000000,0.003030,0.009091,0.015152,0.009091,0.000000,2,
0.009091,0.003030,0.066667,0.830303,0.000000,0.018182,0.000000,0.003030,0.066667,0.003030,3,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,7,
0.000000,0.000000,0.003030,0.000000,0.918182,0.063636,0.006061,0.000000,0.006061,0.003030,4,
0.012121,0.000000,0.015152,0.003030,0.663636,0.009091,0.021212,0.045455,0.012121,0.218182,4,
0.006061,0.000000,0.000000,0.030303,0.563636,0.293939,0.003030,0.015152,0.051515,0.036364,4,
0.000000,0.000000,0.003030,0.069697,0.000000,0.915152,0.000000,0.000000,0.006061,0.006061,5,
0.000000,0.990909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009091,0.000000,1,
0.000000,0.927273,0.003030,0.003030,0.015152,0.000000,0.036364,0.000000,0.015152,0.000000,1,
0.000000,0.003030,0.000000,0.000000,0.133333,0.003030,0.000000,0.006061,0.000000,0.854545,9,
0.000000,0.024242,0.003030,0.021212,0.830303,0.000000,0.018182,0.009091,0.003030,0.090909,4,
0.000000,0.000000,0.151515,0.184848,0.163636,0.009091,0.000000,0.451515,0.003030,0.036364,2,
0.000000,0.027273,0.106061,0.715152,0.000000,0.093939,0.000000,0.009091,0.048485,0.000000,3,
0.018182,0.000000,0.000000,0.181818,0.000000,0.796970,0.000000,0.000000,0.003030,0.000000,5,
0.018182,0.012121,0.015152,0.654545,0.000000,0.160606,0.003030,0.063636,0.063636,0.009091,3,
0.000000,0.000000,0.000000,0.069697,0.015152,0.015152,0.000000,0.539394,0.006061,0.354545,7,
0.000000,0.000000,0.024242,0.003030,0.015152,0.000000,0.957576,0.000000,0.000000,0.000000,6,
0.003030,0.812121,0.003030,0.000000,0.063636,0.018182,0.036364,0.033333,0.012121,0.018182,1,
0.000000,0.000000,0.006061,0.000000,0.003030,0.000000,0.990909,0.000000,0.000000,0.000000,6,
0.045455,0.000000,0.066667,0.000000,0.609091,0.030303,0.190909,0.006061,0.033333,0.018182,4,
0.006061,0.000000,0.012121,0.006061,0.793939,0.006061,0.006061,0.066667,0.000000,0.103030,4,
0.018182,0.000000,0.015152,0.148485,0.093939,0.000000,0.000000,0.569697,0.012121,0.142424,7,
