0, 1, 2, 3, 4, 5, 6, 7, 8, 9, True
0.061096,0.000247,0.107887,0.124358,0.012702,0.071905,0.068914,0.013364,0.520082,0.019444,8,
0.000009,0.000028,0.000595,0.006816,0.001441,0.001177,0.000000,0.966823,0.003041,0.020071,7,
0.024591,0.047752,0.234779,0.411094,0.034607,0.011844,0.016476,0.163950,0.038473,0.016434,3,
0.000020,0.996095,0.000937,0.000154,0.000579,0.000204,0.000195,0.000782,0.000497,0.000537,1,
0.004821,0.011715,0.843319,0.024825,0.022126,0.000149,0.082509,0.009814,0.000156,0.000566,2,
0.016821,0.000703,0.013431,0.051228,0.067619,0.161597,0.000234,0.406312,0.023862,0.258193,7,
0.000022,0.994537,0.001592,0.000141,0.000452,0.000315,0.000572,0.001126,0.000938,0.000306,1,
0.017521,0.001534,0.797793,0.069907,0.025913,0.007341,0.047468,0.010961,0.019172,0.002389,2,
0.001833,0.002812,0.000803,0.004191,0.270810,0.137668,0.000309,0.511480,0.007150,0.062944,7,
0.000013,0.000012,0.000272,0.006303,0.000597,0.001614,0.000000,0.981273,0.001450,0.008468,7,
0.116040,0.000118,0.005744,0.004104,0.248871,0.508118,0.001647,0.010620,0.059829,0.044908,5,
0.002766,0.014135,0.809374,0.130176,0.012019,0.002631,0.013343,0.002181,0.012704,0.000671,2,
0.139085,0.000530,0.041952,0.037430,0.018307,0.226233,0.005019,0.005885,0.489656,0.035904,8,
0.000161,0.000341,0.000141,0.009235,0.006343,0.007998,0.000000,0.864228,0.001212,0.110340,9,
0.049595,0.040571,0.074283,0.479181,0.008584,0.283289,0.002141,0.018661,0.025714,0.017981,2,
0.133912,0.000913,0.147590,0.101795,0.073335,0.154650,0.013677,0.010388,0.294385,0.069356,8,
0.005218,0.039163,0.009624,0.008883,0.628710,0.010528,0.016149,0.019962,0.017314,0.244449,4,
0.003590,0.750784,0.044623,0.029070,0.078279,0.055519,0.026066,0.002611,0.006213,0.003244,1,
0.000000,0.994657,0.000947,0.000120,0.000540,0.000727,0.000164,0.001601,0.000487,0.000757,1,
0.098566,0.013712,0.289144,0.267875,0.008161,0.015943,0.017402,0.013189,0.261495,0.014513,2,
0.010982,0.001787,0.004146,0.025140,0.054756,0.016752,0.002526,0.129918,0.032844,0.721149,9,
0.010977,0.003977,0.024801,0.018535,0.515428,0.010119,0.005314,0.019829,0.012988,0.378030,9,
0.042513,0.014261,0.033923,0.118935,0.200164,0.053242,0.014711,0.220937,0.081191,0.220123,7,
0.003813,0.004033,0.041805,0.004011,0.061299,0.009012,0.848548,0.010331,0.008409,0.008740,6,
0.025923,0.001228,0.005333,0.050551,0.052538,0.032468,0.005335,0.112208,0.066006,0.648411,9,
0.000498,0.021636,0.001161,0.021753,0.043278,0.012264,0.000015,0.517537,0.020447,0.361411,7,
0.003696,0.034487,0.901025,0.038004,0.001760,0.001040,0.009612,0.002594,0.007601,0.000182,2,
0.000025,0.956265,0.001194,0.000103,0.002417,0.000088,0.038242,0.001154,0.000392,0.000119,1,
0.081279,0.004168,0.022865,0.553644,0.002978,0.215478,0.000140,0.019546,0.090463,0.009439,3,
0.000036,0.001682,0.000232,0.006058,0.011331,0.006156,0.000000,0.818043,0.003062,0.153401,7,
0.928345,0.000000,0.000583,0.019729,0.000156,0.031962,0.016730,0.000062,0.002382,0.000051,0,
0.025715,0.048074,0.028296,0.049449,0.193688,0.093834,0.015106,0.080155,0.141787,0.323896,9,
0.000437,0.005275,0.009886,0.255203,0.000214,0.721009,0.003738,0.001118,0.002663,0.000457,5,
0.276095,0.001908,0.014436,0.049503,0.031655,0.036933,0.031590,0.003935,0.485334,0.068612,8,
0.009926,0.026974,0.028723,0.743719,0.001864,0.137920,0.000082,0.018681,0.019591,0.012521,3,
0.008049,0.007143,0.018342,0.040425,0.174181,0.047605,0.005000,0.661328,0.001194,0.036733,7,
0.061234,0.000000,0.068431,0.357465,0.032546,0.112571,0.029256,0.061966,0.258604,0.017928,8,
0.002380,0.001788,0.019734,0.003144,0.008811,0.001887,0.959988,0.000000,0.001075,0.001192,6,
0.073077,0.003442,0.021614,0.009206,0.144428,0.285491,0.296690,0.012372,0.095639,0.058040,4,
0.013775,0.022771,0.190730,0.449417,0.002207,0.264620,0.015131,0.007289,0.030854,0.003206,2,
0.002100,0.001440,0.006622,0.000268,0.014023,0.009236,0.962619,0.000187,0.002305,0.001200,6,
0.001345,0.092830,0.305175,0.513715,0.002976,0.002382,0.000491,0.074625,0.004459,0.002002,3,
0.010296,0.007077,0.071197,0.005148,0.044154,0.001814,0.855469,0.000436,0.001160,0.003250,6,
0.366105,0.000283,0.093578,0.221599,0.009524,0.223218,0.018184,0.008228,0.055482,0.003798,3,
0.222420,0.004791,0.069419,0.001388,0.040309,0.096363,0.127284,0.005253,0.413213,0.019562,0,
0.002303,0.003214,0.005529,0.000225,0.009426,0.006806,0.967554,0.000141,0.002613,0.002188,6,
