0, 1, 2, 3, 4, 5, 6, 7, 8, 9, True
0.103637,0.000082,0.028225,0.004354,0.532142,0.166524,0.051506,0.004745,0.010898,0.097888,2,
0.031778,0.000000,0.263929,0.001744,0.416687,0.012298,0.031283,0.199853,0.000060,0.042367,2,
0.034341,0.001756,0.043083,0.017572,0.176324,0.233298,0.025680,0.218666,0.008895,0.240384,7,
0.000019,0.979766,0.015556,0.000803,0.000851,0.000594,0.000671,0.000228,0.001460,0.000053,1,
0.000019,0.979766,0.015556,0.000803,0.000851,0.000594,0.000671,0.000228,0.001460,0.000053,1,
0.008444,0.000029,0.946731,0.000892,0.002161,0.013860,0.027827,0.000000,0.000055,0.000000,2,
0.000313,0.029521,0.947200,0.011069,0.001956,0.000826,0.007191,0.000035,0.001882,0.000005,2,
0.109724,0.000000,0.086752,0.001434,0.136866,0.054099,0.609055,0.001284,0.000106,0.000680,4,
0.005670,0.000923,0.397086,0.003460,0.061728,0.003143,0.523326,0.000532,0.000869,0.003264,2,
0.107531,0.000455,0.191446,0.269582,0.103652,0.091129,0.133464,0.025860,0.054591,0.022289,4,
0.773197,0.000000,0.100810,0.070181,0.022695,0.022976,0.002818,0.000275,0.006837,0.000211,3,
0.128401,0.020443,0.026424,0.008598,0.095255,0.209091,0.168946,0.033633,0.229045,0.080163,4,
0.428989,0.006567,0.238705,0.076596,0.001745,0.142704,0.012626,0.000063,0.091846,0.000158,0,
0.315018,0.000023,0.047848,0.143486,0.070662,0.266821,0.013948,0.000549,0.135721,0.005925,5,
0.000052,0.000072,0.000055,0.001003,0.003562,0.001224,0.000004,0.950832,0.000007,0.043188,7,
0.131442,0.000038,0.195397,0.010224,0.181100,0.027459,0.436082,0.000583,0.013163,0.004510,6,
0.103369,0.000011,0.043850,0.063328,0.095858,0.037321,0.016655,0.564975,0.014118,0.060515,7,
0.110390,0.009382,0.233074,0.021440,0.072233,0.044039,0.447072,0.011636,0.032298,0.018436,6,
0.004401,0.000000,0.000251,0.001799,0.027600,0.025738,0.000005,0.902536,0.000015,0.037655,7,
0.009985,0.023686,0.004934,0.030696,0.070757,0.102752,0.019545,0.267410,0.066438,0.403798,9,
0.010123,0.003924,0.164841,0.001058,0.129277,0.006557,0.655751,0.005164,0.001059,0.022245,2,
0.017065,0.341697,0.043017,0.023722,0.069991,0.070757,0.155324,0.036878,0.095865,0.145684,9,
0.018126,0.034331,0.051091,0.389126,0.044342,0.061715,0.058449,0.002811,0.306967,0.033042,8,
0.017065,0.341697,0.043017,0.023722,0.069991,0.070757,0.155324,0.036878,0.095865,0.145684,7,
0.005502,0.003154,0.001001,0.235571,0.007808,0.030797,0.000033,0.652794,0.003672,0.059668,5,
0.000102,0.000137,0.000054,0.001381,0.000512,0.001541,0.000002,0.988356,0.000019,0.007897,7,
0.000145,0.723168,0.135727,0.096786,0.003961,0.003804,0.001855,0.000128,0.034340,0.000088,2,
0.004405,0.090595,0.022263,0.008723,0.246680,0.028453,0.159440,0.017957,0.018208,0.403277,4,
0.002123,0.000005,0.000024,0.003659,0.001346,0.012072,0.000002,0.970725,0.000259,0.009786,7,
0.702148,0.000000,0.014294,0.001079,0.013173,0.167285,0.101515,0.000006,0.000458,0.000041,0,
