0, 1, 2, 3, 4, 5, 6, 7, 8, 9, True
0.173333,0.008889,0.028889,0.022222,0.000000,0.013333,0.028889,0.000000,0.715556,0.008889,8,
0.000000,0.000000,0.000000,0.986486,0.000000,0.000000,0.000000,0.000000,0.013514,0.000000,5,
0.007042,0.000000,0.000000,0.042254,0.000000,0.943662,0.000000,0.000000,0.007042,0.000000,5,
0.000000,0.000000,0.000000,0.002988,0.000000,0.000000,0.000000,0.996016,0.000000,0.000996,7,
0.173333,0.008889,0.028889,0.022222,0.000000,0.013333,0.028889,0.000000,0.715556,0.008889,8,
0.024691,0.004938,0.017284,0.004938,0.000000,0.012346,0.007407,0.000000,0.925926,0.002469,5,
0.914894,0.000000,0.063830,0.000000,0.000000,0.000000,0.000000,0.000000,0.021277,0.000000,0,
0.000000,0.000000,0.000000,0.002988,0.000000,0.000000,0.000000,0.996016,0.000000,0.000996,7,
0.003003,0.003003,0.009009,0.003003,0.750751,0.111111,0.015015,0.012012,0.024024,0.069069,4,
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,
0.000000,0.000000,0.012658,0.972875,0.000000,0.003617,0.000000,0.005425,0.001808,0.003617,3,
0.000000,0.996760,0.000000,0.000648,0.000000,0.000000,0.000000,0.001944,0.000648,0.000000,1,
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,
0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7,
0.034483,0.000000,0.000000,0.137931,0.000000,0.775862,0.000000,0.000000,0.017241,0.034483,5,
0.111111,0.000000,0.111111,0.000000,0.000000,0.055556,0.000000,0.000000,0.666667,0.055556,8,
0.000000,0.996760,0.000000,0.000648,0.000000,0.000000,0.000000,0.001944,0.000648,0.000000,1,
0.004283,0.012848,0.002141,0.017131,0.107066,0.008565,0.000000,0.042827,0.029979,0.775161,9,
0.000000,0.000000,0.000000,0.000000,0.071429,0.000000,0.000000,0.000000,0.071429,0.857143,9,
0.014085,0.000000,0.000000,0.014085,0.014085,0.014085,0.000000,0.084507,0.028169,0.830986,7,
0.000000,0.996760,0.000000,0.000648,0.000000,0.000000,0.000000,0.001944,0.000648,0.000000,1,
0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,5,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,4,
0.000894,0.000000,0.004472,0.000000,0.003578,0.006261,0.981216,0.000000,0.001789,0.001789,6,
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,
0.000000,0.000000,0.051724,0.017241,0.879310,0.017241,0.000000,0.000000,0.000000,0.034483,4,
0.000000,0.000000,0.857143,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000,7,
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,
0.024691,0.004938,0.017284,0.004938,0.000000,0.012346,0.007407,0.000000,0.925926,0.002469,8,
0.000000,0.000000,0.043478,0.869565,0.000000,0.021739,0.000000,0.021739,0.000000,0.043478,3,
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,
0.000894,0.000000,0.004472,0.000000,0.003578,0.006261,0.981216,0.000000,0.001789,0.001789,6,
0.000000,0.015094,0.018868,0.950943,0.000000,0.000000,0.000000,0.015094,0.000000,0.000000,3,
0.000000,0.006211,0.012422,0.881988,0.000000,0.024845,0.000000,0.006211,0.018634,0.049689,3,
0.000000,0.970000,0.005000,0.001667,0.003333,0.000000,0.005000,0.003333,0.011667,0.000000,1,
0.000000,0.996760,0.000000,0.000648,0.000000,0.000000,0.000000,0.001944,0.000648,0.000000,1,
0.000000,0.000000,0.000000,0.008065,0.008065,0.008065,0.000000,0.451613,0.000000,0.524194,7,
0.038462,0.038462,0.000000,0.000000,0.019231,0.038462,0.000000,0.038462,0.730769,0.096154,8,
0.024691,0.004938,0.017284,0.004938,0.000000,0.012346,0.007407,0.000000,0.925926,0.002469,8,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,2,
0.032787,0.000000,0.049180,0.836066,0.000000,0.000000,0.000000,0.000000,0.081967,0.000000,3,
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4,
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,
0.745562,0.000000,0.035503,0.029586,0.011834,0.017751,0.035503,0.000000,0.112426,0.011834,0,
0.000000,0.038462,0.000000,0.025641,0.141026,0.012821,0.000000,0.205128,0.000000,0.576923,7,
0.000000,0.285714,0.000000,0.000000,0.142857,0.000000,0.000000,0.428571,0.000000,0.142857,9,
0.010101,0.000000,0.010101,0.000000,0.020202,0.090909,0.000000,0.000000,0.868687,0.000000,8,
0.000000,0.000000,0.000000,0.062500,0.000000,0.875000,0.000000,0.062500,0.000000,0.000000,3,
0.000000,0.015094,0.018868,0.950943,0.000000,0.000000,0.000000,0.015094,0.000000,0.000000,3,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,9,
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,
0.000000,0.000000,0.000000,0.002988,0.000000,0.000000,0.000000,0.996016,0.000000,0.000996,7,
0.014085,0.000000,0.000000,0.014085,0.014085,0.014085,0.000000,0.084507,0.028169,0.830986,7,
0.000000,0.000000,0.000000,0.005988,0.000000,0.011976,0.000000,0.982036,0.000000,0.000000,5,
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,
0.034483,0.068966,0.000000,0.551724,0.000000,0.172414,0.000000,0.000000,0.172414,0.000000,1,
0.000894,0.000000,0.004472,0.000000,0.003578,0.006261,0.981216,0.000000,0.001789,0.001789,6,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,6,
0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,
0.001733,0.000000,0.006932,0.001733,0.882149,0.046794,0.017331,0.005199,0.003466,0.034662,4,
0.000000,0.966912,0.000000,0.000000,0.007353,0.003676,0.011029,0.011029,0.000000,0.000000,1,
0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,6,
0.010870,0.000000,0.021739,0.010870,0.728261,0.043478,0.000000,0.043478,0.010870,0.130435,4,
0.000000,0.000000,0.071429,0.000000,0.214286,0.071429,0.000000,0.071429,0.000000,0.571429,9,
0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,6,
0.050000,0.000000,0.650000,0.000000,0.250000,0.000000,0.050000,0.000000,0.000000,0.000000,6,
0.000894,0.000000,0.004472,0.000000,0.003578,0.006261,0.981216,0.000000,0.001789,0.001789,6,
0.173333,0.008889,0.028889,0.022222,0.000000,0.013333,0.028889,0.000000,0.715556,0.008889,2,
0.035714,0.000000,0.000000,0.026786,0.000000,0.071429,0.000000,0.000000,0.857143,0.008929,8,
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,0.333333,7,
0.000000,0.996760,0.000000,0.000648,0.000000,0.000000,0.000000,0.001944,0.000648,0.000000,1,
0.000000,0.996760,0.000000,0.000648,0.000000,0.000000,0.000000,0.001944,0.000648,0.000000,1,
0.000000,0.307692,0.153846,0.076923,0.153846,0.000000,0.000000,0.153846,0.000000,0.153846,9,
0.024691,0.004938,0.017284,0.004938,0.000000,0.012346,0.007407,0.000000,0.925926,0.002469,8,
0.025641,0.000000,0.012821,0.076923,0.064103,0.051282,0.000000,0.038462,0.576923,0.153846,8,
0.027778,0.027778,0.000000,0.055556,0.416667,0.111111,0.027778,0.166667,0.055556,0.111111,9,
