0, 1, 2, 3, 4, 5, 6, 7, 8, 9, True
0.083125,0.000652,0.001937,0.015612,0.000911,0.059793,0.000625,0.001020,0.824084,0.012240,8,
0.038494,0.032110,0.091498,0.620710,0.005802,0.015872,0.003377,0.034042,0.091541,0.066553,5,
0.010255,0.000171,0.001086,0.026725,0.000101,0.945329,0.000086,0.000768,0.014329,0.001150,5,
0.000076,0.000226,0.000276,0.037334,0.004340,0.000310,0.000053,0.924374,0.001032,0.031978,7,
0.114982,0.009397,0.056284,0.035083,0.004336,0.063582,0.036252,0.001074,0.669637,0.009375,8,
0.140783,0.000566,0.000920,0.001224,0.000524,0.303956,0.000879,0.000521,0.549395,0.001233,5,
0.986693,0.000020,0.001927,0.000486,0.000017,0.003428,0.000179,0.000014,0.007209,0.000028,0,
0.000016,0.000512,0.000135,0.013463,0.002476,0.000079,0.000005,0.934019,0.000261,0.049034,7,
0.027188,0.031028,0.013366,0.007548,0.351526,0.039411,0.039011,0.004230,0.095970,0.390723,4,
0.023576,0.004396,0.156044,0.118494,0.000782,0.003646,0.000791,0.001621,0.685792,0.004857,2,
0.010262,0.000143,0.005630,0.966881,0.000036,0.015618,0.000040,0.000110,0.001074,0.000206,3,
0.002848,0.921229,0.007919,0.001362,0.006161,0.005620,0.001826,0.029733,0.013446,0.009856,1,
0.009527,0.000714,0.928313,0.000882,0.000078,0.000533,0.052511,0.000036,0.007347,0.000060,2,
0.001482,0.003083,0.976488,0.002638,0.000054,0.000473,0.003850,0.000019,0.011871,0.000041,2,
0.000562,0.000454,0.985229,0.009506,0.000002,0.000025,0.002606,0.000008,0.001605,0.000001,2,
0.000396,0.010325,0.003641,0.019113,0.228562,0.009976,0.000498,0.457809,0.002239,0.267440,7,
0.022234,0.000260,0.013511,0.433753,0.000103,0.467060,0.000420,0.000229,0.061908,0.000522,5,
0.224110,0.000079,0.011655,0.016730,0.000035,0.003723,0.000108,0.000039,0.743053,0.000467,8,
