0, 1, 2, 3, 4, 5, 6, 7, 8, 9, True
0.000644,0.896341,0.041043,0.007731,0.025849,0.001944,0.010812,0.004858,0.002000,0.008778,1,
0.000052,0.981581,0.009065,0.004993,0.001023,0.000294,0.000412,0.001637,0.000259,0.000683,1,
0.273923,0.000001,0.004319,0.061896,0.004434,0.321329,0.000657,0.002111,0.316875,0.014455,5,
0.074802,0.000306,0.009387,0.386226,0.004073,0.263556,0.000283,0.031773,0.204147,0.025446,5,
0.019374,0.000196,0.000425,0.013549,0.119656,0.072454,0.000472,0.224619,0.055197,0.494058,5,
0.316960,0.000055,0.075785,0.042463,0.035334,0.207834,0.034479,0.000930,0.265739,0.020422,8,
0.022269,0.000254,0.118106,0.000567,0.095833,0.005588,0.742713,0.000021,0.010609,0.004040,6,
0.006956,0.000143,0.919696,0.002806,0.000141,0.001560,0.065528,0.000000,0.003163,0.000007,2,
0.000712,0.008752,0.000117,0.010356,0.026152,0.008333,0.000036,0.742217,0.004949,0.198377,7,
0.092079,0.000000,0.000089,0.118749,0.001247,0.419032,0.000005,0.064865,0.260097,0.043838,5,
0.153922,0.000145,0.030594,0.007772,0.352228,0.098249,0.108613,0.002733,0.129901,0.115845,6,
0.005697,0.149046,0.008150,0.060316,0.111646,0.033658,0.002046,0.359012,0.025591,0.244838,9,
0.003998,0.013218,0.001143,0.010991,0.187840,0.020342,0.001143,0.322602,0.015570,0.423153,4,
0.092285,0.000692,0.105068,0.006011,0.295831,0.047273,0.335932,0.000823,0.070055,0.046031,4,
0.000489,0.925750,0.029226,0.019946,0.006433,0.002254,0.002051,0.007178,0.002030,0.004644,1,
0.006701,0.000822,0.156531,0.000300,0.046660,0.001669,0.782731,0.000007,0.003324,0.001255,6,
0.194676,0.000142,0.366335,0.120729,0.002686,0.125865,0.020604,0.000119,0.167448,0.001396,9,
0.021031,0.000314,0.050157,0.811700,0.000033,0.062778,0.000067,0.000427,0.053326,0.000166,3,
0.026172,0.000002,0.000022,0.020571,0.012666,0.152838,0.000008,0.376848,0.091307,0.319567,7,
0.398253,0.000000,0.007176,0.053855,0.000334,0.251398,0.000387,0.000068,0.287674,0.000855,3,
0.333946,0.000001,0.006000,0.031721,0.011309,0.283092,0.002264,0.001424,0.309500,0.020742,0,
0.554277,0.000000,0.000062,0.002021,0.000410,0.204766,0.000045,0.000028,0.236560,0.001830,0,
0.016954,0.001902,0.001422,0.168851,0.015742,0.123495,0.000105,0.436447,0.079289,0.155793,7,
0.016726,0.000361,0.000702,0.007090,0.236553,0.048156,0.001537,0.130853,0.040564,0.517456,9,
0.212471,0.000006,0.003320,0.007080,0.196405,0.174125,0.011667,0.006364,0.198063,0.190499,4,
0.360127,0.000000,0.002159,0.003822,0.106180,0.189180,0.010031,0.001445,0.234901,0.092154,5,
0.002750,0.132722,0.003204,0.083986,0.032718,0.025636,0.000320,0.555669,0.016946,0.146049,7,
0.213977,0.000005,0.006637,0.127313,0.002973,0.328254,0.000478,0.003261,0.305222,0.011880,8,
0.173813,0.000903,0.301582,0.039661,0.060547,0.108552,0.147187,0.000705,0.150409,0.016642,3,
0.003310,0.001549,0.178239,0.000204,0.030226,0.000821,0.783337,0.000004,0.001680,0.000631,6,
0.132098,0.000005,0.001109,0.004333,0.249105,0.134025,0.005660,0.012993,0.142096,0.318575,5,
0.198695,0.000505,0.085446,0.129436,0.029862,0.241371,0.015189,0.004655,0.264244,0.030597,5,
0.001249,0.831370,0.022712,0.049739,0.015753,0.007319,0.001691,0.043770,0.005958,0.020438,1,
0.008923,0.525200,0.156761,0.164445,0.026092,0.031231,0.009901,0.024775,0.028949,0.023725,1,
0.009782,0.045128,0.011318,0.015062,0.412552,0.028084,0.014683,0.102226,0.026245,0.334921,9,
0.002129,0.794222,0.056873,0.023151,0.052635,0.006984,0.013383,0.017130,0.006819,0.026674,1,
0.056513,0.016942,0.038885,0.183923,0.096875,0.171348,0.007173,0.103209,0.150397,0.174735,0,
0.017097,0.021883,0.017721,0.013676,0.483669,0.035729,0.029654,0.051530,0.036270,0.292770,4,
0.016390,0.193569,0.044527,0.097880,0.171918,0.060537,0.011821,0.146727,0.053174,0.203457,9,
0.018844,0.001744,0.001428,0.095349,0.035493,0.113050,0.000231,0.409768,0.077023,0.247072,3,
0.004127,0.060605,0.002851,0.120064,0.024349,0.038664,0.000219,0.582866,0.024976,0.141279,9,
0.176891,0.000509,0.066682,0.170975,0.020839,0.255909,0.008213,0.006307,0.265006,0.028669,3,
0.001360,0.003333,0.205743,0.000124,0.017366,0.000335,0.770762,0.000002,0.000710,0.000265,6,
0.131495,0.000227,0.008801,0.071455,0.076085,0.258984,0.003632,0.040600,0.238132,0.170588,8,
0.619162,0.000000,0.041023,0.006785,0.002132,0.114358,0.020949,0.000004,0.194920,0.000666,6,
0.102853,0.000000,0.000076,0.045272,0.006528,0.370030,0.000017,0.091746,0.247599,0.135878,5,
0.001369,0.843707,0.032841,0.048690,0.014624,0.007043,0.002405,0.027736,0.005984,0.015600,1,
0.000004,0.995691,0.000829,0.000376,0.001013,0.000031,0.000125,0.001349,0.000026,0.000557,1,
0.316083,0.000000,0.000007,0.002993,0.002686,0.345184,0.000009,0.002763,0.287214,0.043062,8,
0.192948,0.000014,0.060330,0.297649,0.000374,0.216768,0.000822,0.000249,0.229990,0.000856,3,
0.025445,0.014949,0.009452,0.164451,0.061651,0.124801,0.001342,0.284556,0.094314,0.219038,0,
0.059948,0.001149,0.049903,0.561511,0.001589,0.168090,0.000657,0.006376,0.145290,0.005487,5,
0.052660,0.000003,0.065740,0.736579,0.000002,0.072508,0.000031,0.000010,0.072460,0.000009,3,
0.113021,0.000075,0.344014,0.323301,0.000152,0.098104,0.002330,0.000040,0.118807,0.000158,3,
0.001740,0.002706,0.210753,0.000148,0.018354,0.000427,0.764668,0.000002,0.000897,0.000304,6,
0.012796,0.087663,0.143322,0.007743,0.388087,0.014282,0.262746,0.004187,0.018508,0.060666,1,
0.080654,0.000000,0.038548,0.776364,0.000000,0.048737,0.000001,0.000000,0.055696,0.000000,3,
0.027327,0.000039,0.000194,0.023349,0.047560,0.121970,0.000111,0.289061,0.084559,0.405830,3,
0.009758,0.473093,0.115377,0.049868,0.152275,0.025733,0.037763,0.032387,0.026004,0.077742,1,
0.022703,0.000020,0.000150,0.004159,0.162616,0.061521,0.000461,0.118696,0.049740,0.579934,7,
0.235621,0.000000,0.000005,0.010504,0.000518,0.425612,0.000001,0.004372,0.303797,0.019570,8,
0.043538,0.012994,0.079237,0.016428,0.451201,0.050990,0.132974,0.010515,0.061307,0.140816,4,
0.055132,0.000799,0.003927,0.135040,0.041201,0.216528,0.000671,0.177522,0.164472,0.204707,5,
0.596730,0.000000,0.003578,0.008033,0.000338,0.162345,0.000785,0.000006,0.227762,0.000424,0,
0.012964,0.077765,0.037136,0.014568,0.496075,0.026302,0.054083,0.038185,0.027779,0.215143,4,
0.127881,0.000002,0.000484,0.003807,0.198386,0.143941,0.002511,0.016974,0.144667,0.361347,5,
0.000740,0.017585,0.000203,0.032130,0.009246,0.011081,0.000018,0.819153,0.006157,0.103688,7,
0.006929,0.000797,0.155495,0.000306,0.047624,0.001726,0.782386,0.000007,0.003434,0.001296,6,
0.446149,0.000000,0.001249,0.000886,0.141386,0.131718,0.018952,0.000327,0.188654,0.070678,8,
0.588130,0.000000,0.015646,0.003171,0.018456,0.126101,0.037295,0.000029,0.205513,0.005659,0,
0.009192,0.196340,0.099343,0.010638,0.408088,0.014467,0.141693,0.011393,0.017059,0.091788,4,
0.022692,0.139078,0.139722,0.034091,0.335245,0.039587,0.103793,0.021083,0.044138,0.120571,2,
0.002358,0.002082,0.188685,0.000169,0.024483,0.000583,0.779974,0.000003,0.001210,0.000453,6,
0.433399,0.000000,0.000322,0.000554,0.131592,0.138994,0.006885,0.000467,0.187376,0.100410,8,
0.001623,0.836195,0.047936,0.050531,0.014369,0.007353,0.003477,0.019101,0.006501,0.012914,1,
0.053300,0.000056,0.842388,0.031831,0.000196,0.018251,0.023524,0.000002,0.030416,0.000036,3,
0.019103,0.000298,0.123227,0.000524,0.087601,0.004789,0.751811,0.000018,0.009149,0.003480,6,
0.010048,0.171115,0.075672,0.012323,0.445522,0.017536,0.105808,0.018001,0.019882,0.124092,5,
0.043737,0.069950,0.178445,0.059718,0.265743,0.071655,0.095656,0.020151,0.079676,0.115268,5,
0.017707,0.023448,0.244680,0.005307,0.205108,0.012272,0.452416,0.000687,0.018126,0.020249,6,
0.080908,0.014441,0.079602,0.121486,0.156987,0.163280,0.025465,0.042002,0.162627,0.153201,8,
0.004037,0.002346,0.000325,0.011414,0.090989,0.024961,0.000243,0.443808,0.017326,0.404549,9,
0.008795,0.002410,0.175850,0.000666,0.082316,0.002968,0.718382,0.000029,0.005417,0.003167,6,
0.000030,0.984563,0.002822,0.001339,0.004243,0.000175,0.000548,0.003785,0.000153,0.002343,1,
0.114103,0.000281,0.017375,0.011566,0.363979,0.109633,0.045992,0.009403,0.128594,0.199074,8,
0.005297,0.010763,0.219897,0.000840,0.082625,0.002262,0.671048,0.000047,0.003963,0.003258,6,
0.265689,0.000009,0.012991,0.081313,0.007720,0.300602,0.001996,0.002304,0.310879,0.016497,0,
0.008901,0.004636,0.001503,0.317683,0.004638,0.091920,0.000035,0.449411,0.054188,0.067084,3,
0.137054,0.001222,0.069292,0.026954,0.267291,0.128832,0.088398,0.006787,0.156398,0.117772,4,
0.001111,0.690613,0.008474,0.023768,0.056078,0.007040,0.001894,0.129833,0.005550,0.075639,1,
0.008309,0.000848,0.000464,0.007213,0.184896,0.032755,0.000768,0.226037,0.025561,0.513151,9,
0.499886,0.000000,0.249306,0.018858,0.000130,0.075811,0.015269,0.000000,0.140708,0.000032,6,
0.054956,0.000400,0.092418,0.001957,0.257530,0.020711,0.514617,0.000223,0.033973,0.023215,2,
0.641881,0.000000,0.000033,0.002078,0.000008,0.161025,0.000004,0.000001,0.194912,0.000058,0,
0.001360,0.003333,0.205743,0.000124,0.017366,0.000335,0.770762,0.000002,0.000710,0.000265,2,
0.015338,0.000246,0.558954,0.001314,0.004487,0.003148,0.409865,0.000001,0.006491,0.000156,2,
0.000121,0.966065,0.012866,0.012976,0.001314,0.000743,0.000423,0.003642,0.000626,0.001224,1,
0.427362,0.000001,0.009316,0.016433,0.012836,0.228704,0.005990,0.000384,0.285991,0.012983,0,
0.000008,0.000495,0.000000,0.000355,0.001724,0.000286,0.000000,0.942363,0.000121,0.054648,7,
0.112693,0.000011,0.001369,0.006022,0.245129,0.133638,0.005300,0.019059,0.137160,0.339618,4,
0.443536,0.000000,0.000123,0.000420,0.102298,0.148624,0.002980,0.000519,0.192026,0.109474,9,
0.021804,0.002031,0.339589,0.554403,0.000077,0.039807,0.000779,0.000123,0.041273,0.000115,2,
0.220371,0.000001,0.286569,0.259693,0.000007,0.097941,0.000649,0.000001,0.134761,0.000008,0,
0.268831,0.000001,0.102316,0.261871,0.000027,0.164352,0.000476,0.000008,0.202069,0.000049,0,
0.464599,0.000000,0.019909,0.021614,0.004759,0.205305,0.006617,0.000108,0.273120,0.003969,8,
0.033998,0.001258,0.816083,0.024449,0.002474,0.016653,0.078544,0.000018,0.026158,0.000365,3,
0.000032,0.984603,0.003439,0.001205,0.004590,0.000168,0.000745,0.002911,0.000151,0.002156,1,
0.002118,0.002087,0.349676,0.000240,0.007826,0.000485,0.636394,0.000001,0.001038,0.000135,2,
0.418333,0.000000,0.005196,0.021167,0.004063,0.248779,0.001701,0.000279,0.293853,0.006628,8,
0.051996,0.010114,0.022064,0.123666,0.125285,0.158499,0.006016,0.125887,0.137541,0.238933,9,
0.057084,0.028465,0.509343,0.142295,0.027793,0.075988,0.054674,0.002620,0.089231,0.012507,2,
0.000286,0.943216,0.012192,0.011141,0.009097,0.001546,0.001351,0.012506,0.001330,0.007336,1,
0.003757,0.690378,0.116644,0.119848,0.011096,0.014885,0.004994,0.014588,0.013534,0.010276,1,
0.013711,0.281902,0.082245,0.045871,0.263497,0.035513,0.040673,0.052777,0.035475,0.148337,3,
0.001339,0.600849,0.008685,0.016324,0.109902,0.007256,0.003559,0.130597,0.005983,0.115507,1,
0.437724,0.000000,0.001931,0.010561,0.006151,0.244351,0.001294,0.000337,0.286620,0.011030,8,
0.001360,0.003333,0.205743,0.000124,0.017366,0.000335,0.770762,0.000002,0.000710,0.000265,6,
0.558824,0.000000,0.202840,0.027803,0.000008,0.072428,0.002803,0.000000,0.135290,0.000003,0,
0.077000,0.000331,0.731791,0.037594,0.002222,0.034577,0.062287,0.000019,0.053744,0.000436,5,
0.026343,0.018672,0.057672,0.010387,0.527415,0.032773,0.126268,0.011335,0.039198,0.149936,4,
0.024809,0.000059,0.216370,0.685419,0.000003,0.035613,0.000106,0.000009,0.037604,0.000008,3,
0.110665,0.000414,0.009335,0.062482,0.109423,0.225237,0.004755,0.051429,0.207642,0.218617,8,
0.439713,0.000000,0.023744,0.048002,0.000634,0.212968,0.001788,0.000040,0.272296,0.000814,8,
0.071833,0.000016,0.000902,0.004408,0.286539,0.096889,0.004210,0.026498,0.096569,0.412137,9,
0.139661,0.000019,0.046319,0.001239,0.244427,0.035552,0.447113,0.000107,0.061678,0.023885,0,
0.578949,0.000000,0.010019,0.005784,0.005582,0.155247,0.009404,0.000029,0.231856,0.003130,8,
0.008481,0.113563,0.021552,0.015807,0.432961,0.022922,0.025822,0.075284,0.022314,0.261293,4,
0.612274,0.000000,0.000311,0.002369,0.000412,0.165715,0.000192,0.000009,0.217829,0.000889,8,
0.008019,0.361697,0.262635,0.017502,0.141538,0.011797,0.151461,0.004003,0.014483,0.026865,4,
0.279997,0.000001,0.001719,0.002416,0.209203,0.149467,0.014066,0.002093,0.186641,0.154399,9,
0.001734,0.819765,0.083038,0.020611,0.030299,0.005004,0.015211,0.007018,0.005130,0.012191,1,
0.015397,0.007737,0.095395,0.773414,0.000273,0.056530,0.000308,0.002397,0.047662,0.000887,3,
0.377918,0.000007,0.117346,0.006592,0.040198,0.093737,0.198688,0.000048,0.158893,0.006574,6,
